expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,stimuli_presented,trial_duration,trial_num,trial_template
5ff0a827571a1af480c17fdc,Empty_filled,0,d4e11846da3abca04d42bf37c13dc16cc049439ebe190eb850892c05b0f1bb69,3976,False,click,survey_noise,2610,[],choice-response,1,5ffcf97c73cd6e385a5fa726,logistics_noise,4040,1,logisticsQuestionnaire
5ff0a827571a1af480c17fdc,Empty_filled,0,d4e11846da3abca04d42bf37c13dc16cc049439ebe190eb850892c05b0f1bb69,3976,False,click,survey_headphone,8987,[],choice-response,Wired Earbuds,5ffcf97c73cd6e385a5fa726,logistic_headphone,126334,2,logisticsQuestionnaire
5ff0a827571a1af480c17fdc,Empty_filled,0,d4e11846da3abca04d42bf37c13dc16cc049439ebe190eb850892c05b0f1bb69,3976,True,keypress,exampleresponse_s_F,13743,['Shorter'],choice-response,Shorter,5ffcf97c73cd6e385a5fa726,e300ms_short,21352,3,e_example_s
5ff0a827571a1af480c17fdc,Empty_filled,0,d4e11846da3abca04d42bf37c13dc16cc049439ebe190eb850892c05b0f1bb69,3976,True,keypress,exampleresponse_l_J,4716,['Longer'],choice-response,Longer,5ffcf97c73cd6e385a5fa726,e300ms_long,11887,4,e_example_l
5ff0a827571a1af480c17fdc,Empty_filled,0,d4e11846da3abca04d42bf37c13dc16cc049439ebe190eb850892c05b0f1bb69,3976,True,keypress,exampleresponse_l_J,2063,['Longer'],choice-response,Longer,5ffcf97c73cd6e385a5fa726,e300ms_long,9578,5,e_example_l
5ff0a827571a1af480c17fdc,Empty_filled,0,d4e11846da3abca04d42bf37c13dc16cc049439ebe190eb850892c05b0f1bb69,3976,True,keypress,exampleresponse_s_F,720,['Shorter'],choice-response,Shorter,5ffcf97c73cd6e385a5fa726,e300ms_short,7503,6,e_example_s
5ff0a827571a1af480c17fdc,Empty_filled,0,d4e11846da3abca04d42bf37c13dc16cc049439ebe190eb850892c05b0f1bb69,3976,False,keypress,practiceresponse_s_F,4334,['Shorter'],choice-response,Longer,5ffcf97c73cd6e385a5fa726,e300ms_delay_2_81,12461,7,e_practiceTrials_s
5ff0a827571a1af480c17fdc,Empty_filled,0,d4e11846da3abca04d42bf37c13dc16cc049439ebe190eb850892c05b0f1bb69,3976,True,keypress,practiceresponse_l_J,558,['Longer'],choice-response,Longer,5ffcf97c73cd6e385a5fa726,e300ms_delay_2_86,7402,8,e_practiceTrials_l
5ff0a827571a1af480c17fdc,Empty_filled,0,d4e11846da3abca04d42bf37c13dc16cc049439ebe190eb850892c05b0f1bb69,3976,True,keypress,practiceresponse_s_F,967,['Shorter'],choice-response,Shorter,5ffcf97c73cd6e385a5fa726,e300ms_delay_2_81,7692,9,e_practiceTrials_s
5ff0a827571a1af480c17fdc,Empty_filled,0,d4e11846da3abca04d42bf37c13dc16cc049439ebe190eb850892c05b0f1bb69,3976,True,keypress,practiceresponse_l_J,718,['Longer'],choice-response,Longer,5ffcf97c73cd6e385a5fa726,e300ms_delay_2_86,8107,10,e_practiceTrials_l
