expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template
67ca029ac8e84b59170a9911,EXP9b_JF,0,37a02f39b6fcbccfda96ec032bfdc20d85935648bda335f34177482292bcc326,2185.7446508407593,False,click,survey_noise,2548,[],choice-response,3,68188663f5aaa2f366c2bd76,2025-05-05 05:35:31-04:00,logistics_noise,6973,1,logisticsQuestionnaire
67ca029ac8e84b59170a9911,EXP9b_JF,0,37a02f39b6fcbccfda96ec032bfdc20d85935648bda335f34177482292bcc326,2185.7446508407593,False,click,survey_headphone1,3255,[],choice-response,Yes,68188663f5aaa2f366c2bd76,2025-05-05 05:35:31-04:00,logistic_headphone1,4207,2,logisticsQuestionnaire
67ca029ac8e84b59170a9911,EXP9b_JF,0,37a02f39b6fcbccfda96ec032bfdc20d85935648bda335f34177482292bcc326,2185.7446508407593,False,click,survey_headphone2,3142,[],choice-response,Wireless Earbuds,68188663f5aaa2f366c2bd76,2025-05-05 05:35:31-04:00,logistic_headphone2,6528,3,logisticsQuestionnaire
67ca029ac8e84b59170a9911,EXP9b_JF,0,37a02f39b6fcbccfda96ec032bfdc20d85935648bda335f34177482292bcc326,2185.7446508407593,True,keypress,EXP9b_ExpRsp_l_rv,12154,['Longer'],choice-response,Longer,68188663f5aaa2f366c2bd76,2025-05-05 05:35:31-04:00,tone8,15662,4,EXP9b_Pretestexample_rv
67ca029ac8e84b59170a9911,EXP9b_JF,0,37a02f39b6fcbccfda96ec032bfdc20d85935648bda335f34177482292bcc326,2185.7446508407593,True,keypress,EXP9b_ExpRsp_s_rv,4240,['Shorter'],choice-response,Shorter,68188663f5aaa2f366c2bd76,2025-05-05 05:35:31-04:00,tone1,7641,5,EXP9b_Pretestexample_rv
67ca029ac8e84b59170a9911,EXP9b_JF,0,37a02f39b6fcbccfda96ec032bfdc20d85935648bda335f34177482292bcc326,2185.7446508407593,True,keypress,EXP9b_ExpRsp_l_rv,1138,['Longer'],choice-response,Longer,68188663f5aaa2f366c2bd76,2025-05-05 05:35:31-04:00,tone8,4641,6,EXP9b_Pretestexample_rv
67ca029ac8e84b59170a9911,EXP9b_JF,0,37a02f39b6fcbccfda96ec032bfdc20d85935648bda335f34177482292bcc326,2185.7446508407593,True,keypress,EXP9b_ExpRsp_s_rv,484,['Shorter'],choice-response,Shorter,68188663f5aaa2f366c2bd76,2025-05-05 05:35:31-04:00,tone1,3841,7,EXP9b_Pretestexample_rv
67ca029ac8e84b59170a9911,EXP9b_JF,0,37a02f39b6fcbccfda96ec032bfdc20d85935648bda335f34177482292bcc326,2185.7446508407593,False,keypress,EXP9b_testRsp_rv,2343,[],choice-response,Longer,68188663f5aaa2f366c2bd76,2025-05-05 05:35:31-04:00,tone3,3114,8,EXP9b_PretestTrials_rv
67ca029ac8e84b59170a9911,EXP9b_JF,0,37a02f39b6fcbccfda96ec032bfdc20d85935648bda335f34177482292bcc326,2185.7446508407593,False,keypress,EXP9b_testRsp_rv,2322,[],choice-response,Longer,68188663f5aaa2f366c2bd76,2025-05-05 05:35:31-04:00,tone6,3157,9,EXP9b_PretestTrials_rv
67ca029ac8e84b59170a9911,EXP9b_JF,0,37a02f39b6fcbccfda96ec032bfdc20d85935648bda335f34177482292bcc326,2185.7446508407593,False,keypress,EXP9b_testRsp_rv,555,[],choice-response,Longer,68188663f5aaa2f366c2bd76,2025-05-05 05:35:31-04:00,tone8,1403,10,EXP9b_PretestTrials_rv
