expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,stimuli_presented,trial_duration,trial_num,trial_template
607affb9d112a7e23c03a96d,Group_FJ,0,303f5f131605b1a0e8cf965fa61221cdf4aad5fe9695d1dea3dc82422cf74458,2615.1291370391846,False,click,survey_noise,4347,[],choice-response,2,617b99111dff2d27ea3d3ef3,logistics_noise,6448,1,logisticsQuestionnaire
607affb9d112a7e23c03a96d,Group_FJ,0,303f5f131605b1a0e8cf965fa61221cdf4aad5fe9695d1dea3dc82422cf74458,2615.1291370391846,False,click,survey_headphone1,6778,[],choice-response,Yes,617b99111dff2d27ea3d3ef3,logistic_headphone1,8250,2,logisticsQuestionnaire
607affb9d112a7e23c03a96d,Group_FJ,0,303f5f131605b1a0e8cf965fa61221cdf4aad5fe9695d1dea3dc82422cf74458,2615.1291370391846,False,click,survey_headphone2,5240,[],choice-response,Wired Earbuds,617b99111dff2d27ea3d3ef3,logistic_headphone2,9291,3,logisticsQuestionnaire
607affb9d112a7e23c03a96d,Group_FJ,0,303f5f131605b1a0e8cf965fa61221cdf4aad5fe9695d1dea3dc82422cf74458,2615.1291370391846,False,keypress,prescreenRsp_laglack,5565,[],choice-response,Lag,617b99111dff2d27ea3d3ef3,Lag,6670,4,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,303f5f131605b1a0e8cf965fa61221cdf4aad5fe9695d1dea3dc82422cf74458,2615.1291370391846,False,keypress,prescreenRsp_cabcap,1050,[],choice-response,Cap,617b99111dff2d27ea3d3ef3,Cap,1845,5,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,303f5f131605b1a0e8cf965fa61221cdf4aad5fe9695d1dea3dc82422cf74458,2615.1291370391846,False,keypress,prescreenRsp_fadfat,925,[],choice-response,Fat,617b99111dff2d27ea3d3ef3,Fat,1869,6,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,303f5f131605b1a0e8cf965fa61221cdf4aad5fe9695d1dea3dc82422cf74458,2615.1291370391846,False,keypress,prescreenRsp_beadbeat,1842,[],choice-response,Bead,617b99111dff2d27ea3d3ef3,Bead,2969,7,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,303f5f131605b1a0e8cf965fa61221cdf4aad5fe9695d1dea3dc82422cf74458,2615.1291370391846,False,keypress,prescreenRsp_laglack,2089,[],choice-response,Lack,617b99111dff2d27ea3d3ef3,Lack,3102,8,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,303f5f131605b1a0e8cf965fa61221cdf4aad5fe9695d1dea3dc82422cf74458,2615.1291370391846,False,keypress,prescreenRsp_beadbeat,1221,[],choice-response,Beat,617b99111dff2d27ea3d3ef3,Beat,2177,9,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,303f5f131605b1a0e8cf965fa61221cdf4aad5fe9695d1dea3dc82422cf74458,2615.1291370391846,False,keypress,prescreenRsp_cabcap,933,[],choice-response,Cab,617b99111dff2d27ea3d3ef3,Cab,2126,10,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,303f5f131605b1a0e8cf965fa61221cdf4aad5fe9695d1dea3dc82422cf74458,2615.1291370391846,False,keypress,prescreenRsp_bagback,926,[],choice-response,Bag,617b99111dff2d27ea3d3ef3,Bag,2051,11,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,303f5f131605b1a0e8cf965fa61221cdf4aad5fe9695d1dea3dc82422cf74458,2615.1291370391846,False,keypress,prescreenRsp_bagback,889,[],choice-response,Back,617b99111dff2d27ea3d3ef3,Back,1811,12,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,303f5f131605b1a0e8cf965fa61221cdf4aad5fe9695d1dea3dc82422cf74458,2615.1291370391846,False,keypress,prescreenRsp_lablap,1342,[],choice-response,Lab,617b99111dff2d27ea3d3ef3,Lab,2321,13,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,303f5f131605b1a0e8cf965fa61221cdf4aad5fe9695d1dea3dc82422cf74458,2615.1291370391846,False,keypress,prescreenRsp_fadfat,861,[],choice-response,Fad,617b99111dff2d27ea3d3ef3,Fad,2252,14,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,303f5f131605b1a0e8cf965fa61221cdf4aad5fe9695d1dea3dc82422cf74458,2615.1291370391846,False,keypress,prescreenRsp_lablap,863,[],choice-response,Lap,617b99111dff2d27ea3d3ef3,Lap,1656,15,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,303f5f131605b1a0e8cf965fa61221cdf4aad5fe9695d1dea3dc82422cf74458,2615.1291370391846,False,keypress,prescreenRsp_laglack,1255,[],choice-response,Lack,617b99111dff2d27ea3d3ef3,Lack,2021,16,PrescreenTrials
607affb9d112a7e23c03a96d,Group_FJ,0,303f5f131605b1a0e8cf965fa61221cdf4aad5fe9695d1dea3dc82422cf74458,2615.1291370391846,False,keypress,prescreenRsp_beadbeat,577,[],choice-response,Beat,617b99111dff2d27ea3d3ef3,Beat,1367,17,PrescreenTrials
