,branch_failpass,expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,session_start_time,stimuli_presented,trial_duration,trial_num,trial_template,task,sub_id,exp,Correct,Shorter,Onset,Length
0,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,testRsp_rv,1304,[],choice-response,Lap,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,early_Lab8,4705,368,EXP8a_maintaskTrials_rv,maintaskTrials,b60a3,EXP8a,0,1,early,8
1,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,testRsp_rv,661,[],choice-response,Lab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,early_Lab4,3701,369,EXP8a_maintaskTrials_rv,maintaskTrials,b60a3,EXP8a,0,0,early,4
2,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,testRsp_rv,768,[],choice-response,Lab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,late_Lab1,3942,370,EXP8a_maintaskTrials_rv,maintaskTrials,b60a3,EXP8a,0,0,late,1
3,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,testRsp_rv,718,[],choice-response,Lab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,early_Lab1,3710,371,EXP8a_maintaskTrials_rv,maintaskTrials,b60a3,EXP8a,0,0,early,1
4,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,testRsp_rv,432,[],choice-response,Lab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,ontime_Lab4,3590,372,EXP8a_maintaskTrials_rv,maintaskTrials,b60a3,EXP8a,0,0,ontime,4
5,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,testRsp_rv,608,[],choice-response,Lab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,early_Lab7,3745,373,EXP8a_maintaskTrials_rv,maintaskTrials,b60a3,EXP8a,0,0,early,7
6,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,testRsp_rv,547,[],choice-response,Lab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,ontime_Lab2,3624,374,EXP8a_maintaskTrials_rv,maintaskTrials,b60a3,EXP8a,0,0,ontime,2
7,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,testRsp_rv,492,[],choice-response,Lab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,late_Lab5,3777,375,EXP8a_maintaskTrials_rv,maintaskTrials,b60a3,EXP8a,0,0,late,5
8,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,testRsp_rv,387,[],choice-response,Lab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,late_Lab7,3667,376,EXP8a_maintaskTrials_rv,maintaskTrials,b60a3,EXP8a,0,0,late,7
9,,6345b7f49677d36bd07c5a10,EXP8a_JF,0,b60a33fc2983644fe4faec8cb955a22db3467aaa8db95ce81e9953d3762f43e9,2776.583280801773,False,keypress,testRsp_rv,382,[],choice-response,Lab,636e065bbae6d6e5860db41b,2022-11-11 03:22:51-05:00,late_Lab6,3653,377,EXP8a_maintaskTrials_rv,maintaskTrials,b60a3,EXP8a,0,0,late,6
